,,Taxonomy,,,Agreement,,,
has a motor,52,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"chainsaw, drill, food_processor, generator, hairdryer, meat_grinder, record_player, juicer2, blender, car, cement_mixer, fan, go-kart, jackhammer, lawnmower, shredder, snowmobile, speedboat, mixer, centrifuge, icemaker, vacuum, washing_machine, polisher, sewing_machine, yacht, hard_disk, tractor, treadmill, reel, dirt_bike, blower, dishwasher, turntable, pump, refrigerator, windshield_wiper, clipper2, roadsweeper, truck, crane, boat, freezer, grinder, jetski, motorcycle, ski_lift, scooter, snowplow, quad, eggbeater, slicer"
is made of wood or other materials,52,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"birdhouse, boomerang, bookshelf, chopsticks, doghouse, dresser, gavel, mandolin, ping-pong_table, skateboard, table, cabinet, banjo, closet, guitar, harp, nightstand, piano, rolling_pin, bow2, canoe, chair, oar, rocking_chair, chest2, drumstick, stool, coop, coffee_table, desk, drawer, pool_table, pulpit, raft, shutter, wand, splinter, sailboat, shelf, trunk, throne, bow3, lectern, paddle, music_box, hobbyhorse, ottoman, snowboard, ski, footrest, pipe1, balance_beam"
has wings,51,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"airplane, bee, beetle, bird, butterfly, cockroach, dragonfly, earwig, fly, grasshopper, hummingbird, jet, ladybug, lightning_bug, mosquito, moth, penguin, pigeon, praying_mantis, seagull, wasp, bat1, chicken1, eagle, hawk, seaplane, space_shuttle, bug, cardinal, chick, crow, gargoyle, ostrich, puffin, toucan, turkey, vulture, goose, parrot, owl, blimp, swan, rooster, cockatoo, duck, chicken2, pheasant, pelican, fan, peacock, hot-air_balloon"
is a dish,50,taxonomic,taxonomic,taxonomic,TRUE,TRUE,TRUE,"burrito, enchilada, fondue, meatloaf, potpie, pudding, quiche, quesadilla, souffle, soup, stir_fry, sushi, taco, tostada, appetizer, casserole, curry, pie, saucer, coleslaw, cordon_bleu, gyro, omelet, salad, scrambled_egg, stew, tamale, hash, plate, pizza, chili, meatball, petri_dish, nacho, lasagna, crepe, dessert, guacamole, creme_brulee, egg_roll, stuffing, grits, kebab, mashed_potato, bowl, cornbread, spring_roll, tortellini, sauerkraut, stake"
is used for recreation,50,function,function,function,TRUE,TRUE,TRUE,"airboat, hovercraft, sled, swing, scooter, canoe, rollerskate, slide, swing_set, trampoline, go-kart, rollerblade, sailboat, speedboat, swimming_pool, bow2, dart, slingshot, snowmobile, turf, catapult, iceskate, tricycle, truck, boat, kite, raft, crossbow, jetski, motorcycle, seaplane, football, quad, yacht, beachball, dirt_bike, seesaw, skateboard, bike, hot-air_balloon, boomerang, bowling_ball, arrow, frisbee, float, baseball_bat, buggy, kayak, scuba, ski"
is typically made of plastic,49,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"bazooka, dart, dial, drain, footbath, go-kart, gutter, napkin_ring, steering_wheel, sunroof, scooter, canoe, cigarette_holder, paddle, pedal, sandbox, towel_rack, trophy, scoop, propeller, showerhead, ruler, headlight, mouthpiece, sifter, barrette, flask, pitcher, handlebar, trunk, mouse2, dice, kayak, taillight, baton1, mannequin, periscope, viewfinder, backscratcher, gurney, measuring_cup, tray, badge, hourglass, trough, doorhandle, pinwheel, visor, spout"
has a distinct aroma,48,smell,smell,smell,TRUE,TRUE,TRUE,"cigar, arugula, cilantro, strawberry, coffee, curry, hay, pickle, salami, cantaloupe, oil, bologna, fungus, melon, parsley, skunk, wine, bacon, cigarette, honeycomb, pepperoni, mango, pineapple, saffron, coffee_bean, banana_peel, ketchup, beer, fruitcake, lavender, lemon, licorice, badger, ham, popcorn, raspberry, basil, foot, banana, espresso, mustard, kebab, papaya, cigarette_butt, asparagus, bark, pine_needle, broccoli"
swims,48,visual-motion,visual-motion,visual-motion,TRUE,TRUE,TRUE,"duckling, swan, bear, duck, frog, iguana, porcupine, turtle, fish, fox, puffin, seagull, shark, tadpole, whale, goldfish, kangaroo, man, seal, squid, cougar, moose, penguin, goose, rat, leopard, mole, pelican, tiger, beaver, weasel, cobra, dolphin, otter, alligator, dog, crab, blowfish, hedgehog, platypus, snake, elephant, polar_bear, raccoon, mouse1, toad, rattlesnake, stingray"
has a handle for gripping,47,visual-form_and_surface,function,visual-form_and_surface,FALSE,TRUE,FALSE,"baseball_bat, crutch, dagger, knife, razor, roller, wire_cutters, file1, fishing_pole, machete, cane, chainsaw, eggbeater, icepick, corkscrew, nail_clippers, chisel, cleaver, drill, letter_opener, nutcracker, punch2, peeler, baton2, grater, plunger, slingshot, spatula, tongs, saw, squeegee, scraper, poker, trowel, spear, tool, can_opener, soldering_iron, whip, whisk, hook2, jackhammer, pliers, slicer, leash, scoop, clipper1"
is made of rubber,47,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"balloon, beachball, flip_flop, home_plate, hot-water_bottle, mousepad, plunger, rubber_band, snorkel, stethoscope, tennis_ball, whoopee_cushion, windshield_wiper, flipper, mouthpiece, bathmat, goggles, hose, pacifier, wheel, bungee, doorstop, doormat, gasket, kneepad, bumper, eraser, frisbee, puck, foam, gas_mask, raincoat, basketball, air_mattress, brake, shower_cap, squeegee, stamp2, tee, mallet, dumbbell, pogo_stick, cord, slipper, slingshot, float, cleat"
has a stem,45,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"goblet, wineglass, apple, feather, mulberry, tulip, bell_pepper, blueberry, candlestick, cherry, clover, eggplant, flower, orchid, pear, poppy, pumpkin, dandelion, rose, blackberry, broccoli, chalice, peach, tomato, pepper1, daisy, hookah, leaf, pineapple, strawberry, cauliflower, bouquet, weed, fern, jalapeno, plant, plum, artichoke, mushroom, sunflower, moss, thermometer, glass, fig, pipe1"
has handles,45,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"pliers, shopping_basket, jump_rope, wire_cutters, clipper1, walker1, bag, box, coffin, cooler, drawer, filing_cabinet, laundry_basket, luggage, paper_bag, pogo_stick, scissors, shears, stretcher, wheelbarrow, wok, crate, dresser, tray, rocking_horse, bin, dolly, basket, periscope, duffel_bag, pot, crutch, chest2, seesaw, trunk, cabinet, stroller, faucet, bassinet, treadmill, wheelchair, punch2, cookie_sheet, exerciser, purse"
is herbivorous,45,taxonomic,encyclopedic,encyclopedic,FALSE,FALSE,TRUE,"antelope, beaver, donkey, elephant, gazelle, giraffe, guinea_pig, hippopotamus, horse, koala, lizard, manatee, rabbit, ram, rhinoceros, sloth, yak, zebra, alpaca, bison, deer, goat, gorilla, kangaroo, lamb, moose, pony, reindeer, sheep, chinchilla, cow, iguana, llama, porcupine, swan, fish, turtle, bull, camel, tadpole, caterpillar, gopher, grasshopper, panda, snake"
is a good source of vitamins,44,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"zucchini, broccoli, chickpea, pecan, squash, pepper1, pea, sprouts, artichoke, asparagus, bell_pepper, cauliflower, celery, cucumber, kale, leek, sweet_potato, cashew, spinach, bok_choy, lettuce, okra, onion, prune, beet, fruit, green_beans, melon, pumpkin, tomato, arugula, calamari, eggplant, rhubarb, berry, fig, scallion, apple, rocket, gourd, brussels_sprouts, cantaloupe, pistachio, cilantro"
is strong,44,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"bamboo, boar, bull, polar_bear, spider_web, chain, espresso, gorilla, lion, rope, tiger, duct_tape, horse, panther, perfume, yak, shoulder, bear, bison, hippopotamus, donkey, ram, thread, lumber, racehorse, barbed_wire, bulldozer, leg, board, elephant, harness, railing, tugboat, bungee, honeycomb, cigar, velcro, arch, aluminum_foil, shield, crowbar, cocoon, guardrail, eagle"
is simple,43,visual-form_and_surface,visual-form_and_surface,encyclopedic,TRUE,FALSE,FALSE,"braid, costume, pulley, doorknob, leaf, necklace, candlestick, headdress, origami, candelabra, ticktacktoe, knot, frame, mantle, bookshelf, centerpiece, earring, seesaw, outfit, carriage, tool, chandelier, lock, towel_rack, gravestone, light_switch, loincloth, inkwell, lampshade, doorknocker, wedge, bedpost, chalice, handle, napkin_ring, silverware, belt_buckle, clasp, urn, bracelet2, plunger, wheel, slingshot"
is a mechanical device,42,encyclopedic,encyclopedic,taxonomic,TRUE,FALSE,FALSE,"air_pump, catapult, fan, gyroscope, hinge, latch, music_box, propeller, rudder, screw, shredder, ski_lift, turbine, typewriter, waterwheel, windshield_wiper, valve, engine, gearshift, handbrake, jack, brake, crank, wheel, pump, turnstile, dial, gramophone, dumbwaiter, spark_plug, trigger, odometer, pendulum, reel, record_player, coil, switch, polisher, hammer, cuckoo_clock, light_switch, pocket_watch"
is musical,42,sound,sound,sound,TRUE,TRUE,TRUE,"bagpipe, banjo, bassoon, cello, clarinet, cymbal, flute, french_horn, gong, guitar, harmonica, harp, kazoo, mandolin, metronome, piano, saxophone, trombone, tuba, trumpet, ukulele, violin, whistle, xylophone, bongo, drumstick, tambourine, accordion, bell, drum, horn, recorder, shaker, tuning_fork, washboard, baton1, keyboard, baton3, music_box, record_player, chime, organ"
is used for crafts,42,function,function,function,TRUE,TRUE,TRUE,"eggshell, cornhusk, rubber_band, toothpick, wax_paper, bark, pine_needle, pinecone, acorn, glue, stick, twig, stamp2, sticker, tumbleweed, straw1, paper_plate, handprint, scissors, confetti, cardboard, chalk, doily, razor_blade, duct_tape, tack, shell3, paper, thumbtack, wrapping_paper, eyedropper, pom-pom, clothespin, peg, feather, tape, ribbon, pincushion, gourd, hay, branch, pin"
comes in various sizes and colors,41,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"bathmat, fish, hula_hoop, mitten, notebook, notepad, paperclip, sweater, t-shirt, thumbtack, water_bottle, ping-pong_table, scorpion, coverall, jeans, pantyhose, tarp, velcro, face_mask, mailbox, shower_cap, teddy_bear, gourd, spider, stockings, towel, tack, balloon, pennant, bow1, paper, bathrobe, folder, shower_curtain, cleat, pom-pom, stapler, button1, pin, grain, umbrella"
flies,41,visual-motion,visual-motion,visual-motion,TRUE,TRUE,TRUE,"beetle, bird, bug, butterfly, cockatoo, cockroach, crow, duck, flamingo, fly, goose, helicopter, parrot, pelican, pheasant, pigeon, puffin, seagull, swan, toucan, bat1, airplane, eagle, ladybug, moth, peacock, seaplane, wasp, kite, cardinal, hawk, mosquito, dragonfly, frisbee, jet, lightning_bug, owl, bee, praying_mantis, turkey, earwig"
has sharp claws,41,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"badger, cat, chipmunk, raccoon, anteater, cheetah, iguana, kitten, meerkat, panda, panther, skunk, aardvark, cougar, groundhog, leopard, mole, polar_bear, possum, squirrel, koala, bear, gargoyle, mongoose, hedgehog, toucan, vulture, weasel, gopher, lizard, praying_mantis, crow, porcupine, pheasant, puffin, kangaroo, parrot, sloth, ostrich, coyote, rooster"
is used in salads,41,function,function,function,TRUE,TRUE,TRUE,"artichoke, bell_pepper, lettuce, pea, rocket, tomato, arugula, avocado, basil, beet, cabbage, celery, chive, crouton, cucumber, kale, kiwi, papaya, pear, scallion, spinach, vegetable, watermelon, parsley, onion, star_fruit, dandelion, melon, pomegranate, radish, carrot, sprouts, olive, ham, macaroni, chickpea, cantaloupe, cilantro, pepper1, green_beans, grapefruit"
is a carnivore,40,taxonomic,taxonomic,taxonomic,TRUE,TRUE,TRUE,"cougar, coyote, meerkat, polar_bear, cheetah, eagle, fox, lion, panther, tiger, hawk, jellyfish, wolf, ferret, hyena, leopard, weasel, mongoose, seal, whale, cat, alligator, dog, vulture, walrus, dolphin, bear, poodle, otter, badger, catfish, cobra, eel, praying_mantis, stingray, swordfish, bat1, frog, penguin, shark"
is creamy,40,tactile,taste,taste,FALSE,FALSE,TRUE,"cheesecake, cream_cheese, creme_brulee, dessert, dip, eggnog, flan, hummus, ice_cream, mashed_potato, milkshake, mousse, peanut_butter, soup, tiramisu, yogurt, fudge, guacamole, latte, parfait, avocado, caramel, casserole, pudding, whipped_cream, hot_chocolate, smoothie, shaving_cream, sundae, ice-cream_cone, batter, coleslaw, grits, stew, gravy, banana_split, cashew, chocolate, curry, scrambled_egg"
is curved,39,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"windshield, handlebar, boomerang, sickle, slide, banana, bracket, chute, hockey_stick, lens, horseshoe, thorn, banana_peel, pipe2, handle, spoon, arch, macaroni, spout, railing, pipe1, shoehorn, saxophone, sword, wing, candy_cane, eggshell, guardrail, hook2, camera_lens, hook1, razor_blade, branch, needle, ski, spur, contact_lens, curb, springboard"
is used for protection,39,function,function,function,TRUE,TRUE,TRUE,"armor, dog, glove, thorn, baseball_glove, helmet, mask, spur, wall, shield, screen2, face_mask, football_helmet, spider_web, boxing_gloves, nest, tablecloth, mat, apron, coverall, gas_mask, mouthpiece, loincloth, goggles, overalls, kneepad, net, cage, harness, paint, boot, horseshoe, grille, clothes, wand, bandage, plaster_cast, bumper, bubble_wrap"
is made of ceramic,38,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"curling_iron, flatiron, hotplate, spark_plug, teapot, urinal, pepper2, plate, tile, ashtray, inkwell, coffee_pot, fuse, jug, mug, saltshaker, teacup, piggy_bank, urn, vase, bowl, pot, toilet, pitcher, chinaware, footbath, figurine, birdbath, cup, pan, sink, water_filter, dish, wind_chimes, knife, saucer, cleaver, spout"
is brown in color,37,visual-color,visual-color,visual-color,TRUE,TRUE,TRUE,"brownie, cigar, cinnamon, corkboard, ginger, clove, maple_syrup, moose, platypus, caramel, pinecone, pretzel, acorn, bison, soy_sauce, cardboard, chocolate, shell3, cashew, pecan, raisin, coffee, groundhog, tumbleweed, walnut, deer, turkey, almond, beaver, coffee_bean, mud, gravy, cornhusk, prune, fudge, log, otter"
is colored,37,visual-color,visual-color,visual-color,TRUE,TRUE,TRUE,"candle, candlestick, gel, hairnet, plastic_film, mustache, powder, contact_lens, toothpick, wig, crystal1, stalagmite, tag, wax, dishwashing_liquid, silicone, cord, eggshell, clay, slime, rubber_band, chalk, bowling_ball, thread, folder, straw2, taffy, tack, stained_glass, candy, feather, water_bottle, wineglass, mascara, shower_cap, dice, earplug"
is digital,37,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"book, map, photograph, stopwatch, thermometer, thermostat, timer, camera1, scale, clock, game, odometer, videogame, webcam, camera2, counter, gauge, money, watch, amplifier, hearing_aid, radio, album, metronome, pocket_watch, globe, jukebox, seismograph, photo_booth, speedometer, microscope, switch, trigger, rain_gauge, dashboard, gift, scoreboard"
is cute,36,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"baby, chick, duckling, kitten, piglet, puppy, calf1, fox, chihuahua, chinchilla, lamb, panda, puffin, rabbit, seal, squirrel, hamster, pony, koala, chipmunk, hedgehog, ladybug, poodle, sloth, teddy_bear, alpaca, beaver, duck, ferret, guinea_pig, otter, pug, raccoon, snowman, mouse1, penguin"
is fragile,36,encyclopedic,tactile,tactile,FALSE,FALSE,TRUE,"baby, eggshell, figurine, stained_glass, teacup, glass, vase, bubble, chinaware, jewelry, test_tube, wineglass, diskette, videocassette, record, wafer, chalk, egg, coral, marble, wine_bottle, goblet, butterfly, icicle, fishbowl, chick, stalagmite, dish, doily, vial, paper, poppy, flashbulb, chip, leaf, mirror"
is round or oval in shape,36,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"nest, plum, paper_plate, radish, button1, fishbowl, apple, satellite_dish, porthole, sea_urchin, bowl, doily, saucer, tortilla, flan, hubcap, knob, pearl, peach, doorknob, pill, cabbage, hole, dumpling, keyhole, stump, whoopee_cushion, berry, olive, patty, roll, coconut, mulberry, pot, squash, spout"
is worn by men,36,function,encyclopedic,encyclopedic,FALSE,FALSE,TRUE,"cufflink, kilt, bowler_hat, cummerbund, boxer_shorts, loincloth, suit, toga, tuxedo, top_hat, veil, bolo_tie, headdress, suspenders, tie, bowtie, polo_shirt, shorts, undershirt, wig, turtleneck, headscarf, overalls, sombrero, turban, kimono, underwear, boot, earring, hood, robe, shawl, vest, mullet, cardigan, hairpin"
has a base,35,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"catapult, jack, candlestick, lamppost, lectern, lightbulb, stapler, wineglass, column, glass, globe, cup, flagpole, sprinkler, trophy, bowl, statue, chalice, prism, crib, birdbath, teacup, goblet, mug, fishbowl, snowboard, seismograph, soup, fan, lamp, candelabra, ski, microscope, pulpit, carousel"
comes in patterns,34,visual-form_and_surface,visual-color,visual-form_and_surface,FALSE,TRUE,FALSE,"bead, blazer, marble, blouse, costume, headscarf, suit, cardigan, bowtie, jumpsuit, loveseat, pantsuit, rag, tube_top, turtleneck, washcloth, wallpaper, bow1, headband, polo_shirt, bow3, cape, mat, turban, spider, cushion, fur_coat, beanie, scarf, vest, stiletto, shoelace, blind, suspenders"
is a source of fiber,34,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"artichoke, okra, pea, bean, vegetable, avocado, broccoli, granola, kale, cabbage, pear, coconut, scallion, sweet_potato, brussels_sprouts, peanut_butter, raisin, oatmeal, mulberry, gourd, lettuce, walnut, corn, popcorn, chickpea, peanut, spinach, fig, green_beans, seaweed, kiwi, hay, plum, squash"
is vitamins,33,encyclopedic,encyclopedic,taxonomic,TRUE,FALSE,FALSE,"cauliflower, pumpkin, sweet_potato, asparagus, beet, green_beans, pomegranate, fig, apple, blackberry, prune, raspberry, berry, basil, coconut, okra, kale, chickpea, eggplant, pear, rhubarb, spinach, gourd, cabbage, zucchini, plum, mulberry, milk, brussels_sprouts, cucumber, blueberry, oyster, squash"
grows in gardens,32,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"arugula, asparagus, basil, beet, broccoli, cabbage, carrot, cauliflower, celery, chive, daisy, leek, lettuce, mint, onion, parsley, radish, scallion, spinach, zucchini, apple_tree, kale, lavender, rhubarb, hedge, vegetable, bok_choy, tulip, flower, poppy, rose, bush"
has a grip,32,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"golf_club, key, bow2, hockey_stick, paddle, letter_opener, ski_pole, baton1, tee, periscope, washboard, chainsaw, knob, drill, bat2, magnifier, steering_wheel, doorhandle, baseball_bat, brass_knuckles, wand, shoehorn, baton2, bottle, revolver, corkscrew, racket, flashlight, hook2, tool, handlebar, fishing_pole"
has a long tail,32,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"alligator, anteater, iguana, possum, rat, tadpole, kangaroo, pheasant, racehorse, cougar, dragonfly, mongoose, otter, cheetah, lizard, mouse1, meerkat, panther, peacock, tiger, weasel, zebra, gopher, leopard, chinchilla, whip, elephant, ferret, dalmatian, shrimp, eel, yak"
has a seat,31,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"toilet, wheelchair, saddle, chair, motorcycle, swing_set, highchair, rocking_horse, rocking_chair, swing, sidecar, snowmobile, stroller, tricycle, walker1, quad, unicycle, stool, dirt_bike, go-kart, bike, carriage, electric_chair, scooter, buggy, chariot, couch, jetski, shower, tractor, walker2"
has feathers,31,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"bird, cardinal, chick, cockatoo, duck, goose, hawk, ostrich, owl, parrot, pelican, pheasant, pigeon, rooster, seagull, swan, turkey, vulture, chicken1, crow, duckling, eagle, dart, peacock, hummingbird, arrow, penguin, toucan, flamingo, puffin, chicken2"
is a small,31,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"contact_lens, marble, pearl, petri_dish, snail, stamp2, cigarette_holder, coaster, coin, grain, mulberry, pea, pocketknife, sequin, splinter, twig, wedge, spur, knob, thorn, cigarette, button1, nut, kiwi, light_switch, patty, tugboat, canoe, shower_cap, cigarette_butt, moss"
is versatile,31,encyclopedic,encyclopedic,function,TRUE,FALSE,FALSE,"wok, braid, jeans, duct_tape, macaroni, pantsuit, sofa_bed, velcro, staple_gun, bandanna, pocketknife, spatula, pita, polo_shirt, bun, leggings, crowbar, toaster_oven, turtleneck, pasta, tortilla, jumpsuit, skewer, food_processor, zipper, minivan, potato, hoodie, station_wagon, tool, scoop"
is a toy,30,taxonomic,taxonomic,function,TRUE,FALSE,FALSE,"doll, dreidel, frisbee, hobbyhorse, hula_hoop, kaleidoscope, lego, pinwheel, rocking_horse, squirt_gun, teddy_bear, train_set, yo-yo, pogo_stick, puppet, rattle, ball, block, dollhouse, jump_rope, kite, stilt, whoopee_cushion, slime, toy, noisemaker, beachball, seesaw, figurine, marble"
is agile,30,visual-motion,visual-motion,visual-motion,TRUE,TRUE,TRUE,"ferret, fox, gazelle, leopard, mongoose, panther, weasel, cat, rat, tiger, cheetah, chinchilla, chipmunk, cougar, goat, squirrel, coyote, antelope, deer, kitten, lion, monkey, raccoon, reindeer, wolf, otter, mouse1, hummingbird, bat1, meerkat"
is grown in gardens,30,encyclopedic,encyclopedic,encyclopedic,TRUE,TRUE,TRUE,"kale, rose, tulip, basil, vegetable, arugula, cucumber, orchid, parsley, spinach, lettuce, garlic, squash, strawberry, watermelon, lavender, asparagus, leek, chive, pepper1, artichoke, broccoli, grapevine, poppy, radish, flower, sunflower, scallion, mint, celery"
is reused multiple times,30,encyclopedic,encyclopedic,function,TRUE,FALSE,FALSE,"tupperware, washcloth, peg, sandbag, hot-water_bottle, paperclip, cigarette_holder, mousetrap, shopping_basket, sponge, whoopee_cushion, bookmark, safety_pin, skewer, fishhook, rubber_band, napkin_ring, tack, chopsticks, clothespin, horseshoe, swizzle_stick, tee, velcro, rag, mold1, crate, bow3, plunger, thumbtack"
is used to clean,30,function,function,function,TRUE,TRUE,TRUE,"broom, duster, dustpan, napkin, sponge, vacuum, washcloth, swab, mop, powder, shower, soap, bucket, apron, rag, showerhead, sweeper, dishrag, faucet, blower, scraper, towel, bathtub, lemon, hose, gel, squeegee, ladder, roll, dishwashing_liquid"
requires cleaning,30,encyclopedic,encyclopedic,function,TRUE,FALSE,FALSE,"hot_tub, swimming_pool, water_fountain, fireplace, toilet, razor, wig, denture, machine_gun, soda_fountain, turntable, clipper2, air_conditioner, aquarium, furnace, lawnmower, slicer, gutter, water_filter, wooden_leg, cement_mixer, pipe1, polisher, drain, coop, shears, birdbath, fishbowl, meat_grinder, radiator"
has a flat bottom,29,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"airboat, hovercraft, paperweight, gondola, tugboat, beaker, bowl, fishbowl, saucer, paper_bag, pan, test_tube, canoe, wok, sled, petri_dish, tee, bedpan, bucket, thimble, raft, ski, ferry, snowboard, ashtray, bassinet, dustpan, shopping_basket, trough"
is used for decorative purposes,29,function,function,function,TRUE,TRUE,TRUE,"fern, badge, stained_glass, turf, knot, jewel, toothpick, shell3, brick, horseshoe, branch, nail_polish, place_mat, basket, chicken_wire, mulch, fencepost, stamp2, quill, tablecloth, icicle, mat, chime, jewelry, gem, peacock, saucer, doorstop, hook1"
is used for safety,29,function,function,,85.86%,80.81%,88.89%,"harness, net, railing, playpen, fence, lifesaver, rearview_mirror, helmet, grate, road_sign, guardrail, smoke_alarm, sheath, screen2, lock, crib, fire_alarm, life_jacket, parachute, streetlight, curb, latch, airbag, seatbelt, handcuff, bungee, hook1, speedometer, traffic_light"
has a filling,28,encyclopedic,visual-form_and_surface,,,,,"calzone, cracker, cupcake, pancake, pastry, pie, quilt, sandwich, cake, egg_roll, muff, bun, eclair, cordon_bleu, muffin, candy_bar, enchilada, potpie, roll, tortellini, candy, burrito, quiche, tamale, crepe, donut, lollipop, wafer"
is a bird,28,taxonomic,taxonomic,,,,,"cardinal, cockatoo, crow, duck, flamingo, goose, hummingbird, ostrich, owl, parrot, peacock, pelican, penguin, pheasant, pigeon, puffin, seagull, swan, toucan, turkey, vulture, chicken1, eagle, rooster, duckling, chick, hawk, chicken2"
is adjusted for height,28,encyclopedic,encyclopedic,,,,,"tripod, walker1, crutch, swing_set, gurney, pogo_stick, walker2, diving_board, ping-pong_table, punching_bag, wooden_leg, clothesline, swing, stilt, jump_rope, steering_wheel, stroller, windshield, pedal, springboard, highchair, headrest, stretcher, ski_pole, handlebar, bike, desk, lawnmower"
is cleaned easily,28,encyclopedic,encyclopedic,,,,,"palette, place_mat, mat, blender, grater, mousepad, doormat, whisk, ashtray, skewer, shower_curtain, showerhead, grinder, juicer1, cookie_sheet, stove2, waffle_iron, windowsill, pepper2, birdcage, trough, grill, slicer, hairbrush, whiteboard, coffeemaker, strainer, bulletproof_vest"
is made of steel,28,visual-form_and_surface,visual-form_and_surface,,,,,"roller_coaster, can, tab, cannonball, machete, coaster, crane, anchor, hubcap, sledgehammer, tuning_fork, jack, rim, horseshoe, staple, spur, anvil, cleaver, cookie_sheet, stirrup, pickax, bolt, bulldozer, punch2, wrench, submarine, aircraft_carrier, screwdriver"
is rectangular or square in shape,28,visual-form_and_surface,visual-form_and_surface,,,,,"bathmat, dishrag, doormat, gravestone, pillow, shelf, solar_panel, ballot_box, trunk, cutting_board, washcloth, whiteboard, pallet, desk, napkin, tablecloth, board, breadbox, coffee_table, frame, block, bulletin_board, corkboard, mat, box, cellphone, light_switch, drawer"
contains minerals,27,encyclopedic,encyclopedic,,,,,"broccoli, celery, prune, juice, lettuce, sprouts, milk, asparagus, pineapple, mud, banana, parsley, plum, eggplant, yolk, pepper1, cucumber, pear, cauliflower, dogfood, maple_syrup, vegetable, rock, pet_food, onion, bell_pepper, peach"
has a cover,27,visual-form_and_surface,visual-form_and_surface,,,,,"album, book, checkbook, ironing_board, mattress, wagon, binder, drain, folder, notebook, sandbox, cushion, manhole, notepad, outlet, streetlight, vent, sidecar, pocket_watch, pillow, hot_tub, aquarium, lantern, file2, footbath, slot, ice_pack"
has a timer,27,visual-form_and_surface,encyclopedic,,,,,"toaster, toaster_oven, traffic_light, microwave, parking_meter, photo_booth, heater, incubator, scoreboard, centrifuge, coffee_pot, cooker, dryer, oven, coffeemaker, bomb, sprinkler, waffle_iron, stove2, stove1, clock, streetlight, washing_machine, scrabble, polaroid, footbath, detonator"
has horns,27,visual-form_and_surface,visual-form_and_surface,,,,,"antelope, bison, bull, cow, gazelle, goat, ram, tricycle, yak, firetruck, gargoyle, saddle, car, giraffe, rhinoceros, school_bus, train, roadsweeper, van, gramophone, sheep, truck, anvil, golf_cart, bus, ferry, tugboat"
is rich in antioxidants,27,encyclopedic,encyclopedic,,,,,"beet, cilantro, artichoke, blackberry, blueberry, ginger, olive, arugula, cinnamon, pomegranate, prune, raspberry, basil, onion, saffron, kale, pecan, spinach, cranberry, garlic, papaya, clove, berry, eggplant, fig, walnut, mulberry"
is straight or curved,27,visual-form_and_surface,visual-form_and_surface,,,,,"needle, nose, pole, stair, stick, twig, wall, pipe2, pin, skewer, railing, slide, thorn, handlebar, chute, hairpin, branch, fence, fencepost, exhaust_pipe, macaroni, safety_pin, toothpick, fishhook, tweezers, guardrail, slot"
is used to hunt,27,function,function,,,,,"crossbow, dog, spear, trident, bow2, arrow, blowgun, boomerang, trap, slingshot, hatchet, spider_web, revolver, boar, gun, rifle, airboat, knife, binoculars, net, duck, dagger, bullet, dart, snowmobile, javelin, pheasant"
comes in a variety of colors,26,visual-color,visual-color,,,,,"crayon, gem, marble, pom-pom, rose, alpaca, bead, coral, paint, bowtie, bean, orchid, stiletto, peppermint, nail_polish, vegetable, honey, poodle, starfish, berry, jelly_bean, lipstick, yarn, spider, sequin, eyeliner"
